level_0,index,ds,y
0,200,1900-01-01,9.5
1,201,1901-01-01,2.7
2,202,1902-01-01,5.0
3,203,1903-01-01,24.4
4,204,1904-01-01,42.0
5,205,1905-01-01,63.5
6,206,1906-01-01,53.8
7,207,1907-01-01,62.0
8,208,1908-01-01,48.5
9,209,1909-01-01,43.9
10,210,1910-01-01,18.6
11,211,1911-01-01,5.7
12,212,1912-01-01,3.6
13,213,1913-01-01,1.4
14,214,1914-01-01,9.6
15,215,1915-01-01,47.4
16,216,1916-01-01,57.1
17,217,1917-01-01,103.9
18,218,1918-01-01,80.6
19,219,1919-01-01,63.6
20,220,1920-01-01,37.6
21,221,1921-01-01,26.1
22,222,1922-01-01,14.2
23,223,1923-01-01,5.8
24,224,1924-01-01,16.7
25,225,1925-01-01,44.3
26,226,1926-01-01,63.9
27,227,1927-01-01,69.0
28,228,1928-01-01,77.8
29,229,1929-01-01,64.9
30,230,1930-01-01,35.7
31,231,1931-01-01,21.2
32,232,1932-01-01,11.1
33,233,1933-01-01,5.7
34,234,1934-01-01,8.7
35,235,1935-01-01,36.1
36,236,1936-01-01,79.7
37,237,1937-01-01,114.4
38,238,1938-01-01,109.6
39,239,1939-01-01,88.8
40,240,1940-01-01,67.8
41,241,1941-01-01,47.5
42,242,1942-01-01,30.6
43,243,1943-01-01,16.3
44,244,1944-01-01,9.6
45,245,1945-01-01,33.2
46,246,1946-01-01,92.6
47,247,1947-01-01,151.6
48,248,1948-01-01,136.3
49,249,1949-01-01,134.7
50,250,1950-01-01,83.9
51,251,1951-01-01,69.4
52,252,1952-01-01,31.5
53,253,1953-01-01,13.9
54,254,1954-01-01,4.4
55,255,1955-01-01,38.0
56,256,1956-01-01,141.7
57,257,1957-01-01,190.2
58,258,1958-01-01,184.8
59,259,1959-01-01,159.0
60,260,1960-01-01,112.3
61,261,1961-01-01,53.9
62,262,1962-01-01,37.6
63,263,1963-01-01,27.9
64,264,1964-01-01,10.2
65,265,1965-01-01,15.1
66,266,1966-01-01,47.0
67,267,1967-01-01,93.8
68,268,1968-01-01,105.9
69,269,1969-01-01,105.5
70,270,1970-01-01,104.5
71,271,1971-01-01,66.6
72,272,1972-01-01,68.9
73,273,1973-01-01,38.0
74,274,1974-01-01,34.5
75,275,1975-01-01,15.5
76,276,1976-01-01,12.6
77,277,1977-01-01,27.5
78,278,1978-01-01,92.5
79,279,1979-01-01,155.4
80,280,1980-01-01,154.6
81,281,1981-01-01,140.4
82,282,1982-01-01,115.9
83,283,1983-01-01,66.6
84,284,1984-01-01,45.9
85,285,1985-01-01,17.9
86,286,1986-01-01,13.4
87,287,1987-01-01,29.4
88,288,1988-01-01,100.2
89,289,1989-01-01,157.6
90,290,1990-01-01,142.6
91,291,1991-01-01,145.7
92,292,1992-01-01,94.3
93,293,1993-01-01,54.6
94,294,1994-01-01,29.9
95,295,1995-01-01,17.5
96,296,1996-01-01,8.6
97,297,1997-01-01,21.5
98,298,1998-01-01,64.3
99,299,1999-01-01,93.3
100,300,2000-01-01,119.6
101,301,2001-01-01,111.0
102,302,2002-01-01,104.0
103,303,2003-01-01,63.7
104,304,2004-01-01,40.4
105,305,2005-01-01,29.8
106,306,2006-01-01,15.2
107,307,2007-01-01,7.5
108,308,2008-01-01,2.9
